"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"147","Insect or Disease","14770_40_41_50_51",0.0016394,"Boreal Acidic Peatland Systems",1608,17,0,0.0278698
"148","Mixed Fire","13100_38_42_43",0.019908,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,2883163,17.6,57398.009004
"149","Mixed Fire","13100_41_62",0.017709,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,19519,0.1,345.661971
"150","Mixed Fire","13100_44_50",0.0202956,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,216055,1.3,4384.965858
"151","Mixed Fire","13100_49",0.021461,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,162820,1,3494.28002
"152","Mixed Fire","13110_42_43",0.0089278,"North-Central Interior Dry Oak Forest and Woodland",2118,39226,0.2,350.2018828
"153","Mixed Fire","13110_49",0.0066474,"North-Central Interior Dry Oak Forest and Woodland",2018,940,0,6.248556
"154","Mixed Fire","13110_50",0.010059,"North-Central Interior Dry Oak Forest and Woodland",1564,17233,0.1,173.346747
"155","Mixed Fire","13620_41_50",0.0014942,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,127841,0.8,191.0200222
"156","Mixed Fire","13620_41_50",0.0014942,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,62,0,0.0926404
"157","Mixed Fire","13850_31_39_40_42",0.015465,"Western Great Plains Wooded Draw and Ravine",2120,89426,0.5,1382.97309
"158","Mixed Fire","13940_39_40_41",0.0060802,"North-Central Interior Oak Savanna",1599,12921,0.1,78.5622642
"159","Mixed Fire","13940_42",0.0059282,"North-Central Interior Oak Savanna",2121,56421,0.3,334.4749722
"160","Mixed Fire","13940_50_51",0.0053578,"North-Central Interior Oak Savanna",1570,4403538,26.8,23593.2758964
"161","Mixed Fire","13950_41_42_43_49_52",0.004018,"North-Central Oak Barrens",1600,433,0,1.739794
"162","Mixed Fire","13950_41_42_43_49_52",0.004018,"North-Central Oak Barrens",2122,4506,0,18.105108
"163","Mixed Fire","13950_50",0.0070272,"North-Central Oak Barrens",1571,281144,1.7,1975.6551168
"164","Mixed Fire","14071_41_50_51",0.0133642,"Laurentian Pine-Oak Barrens",1572,66821,0.4,893.0092082
"165","Mixed Fire","14690_38_42_49",0.0129842,"Eastern Great Plains Floodplain Systems",2126,254939,1.6,3310.1789638
"166","Mixed Fire","14710_41_50",0.00238,"Central Interior and Appalachian Floodplain Systems",1579,210874,1.3,501.88012
"167","Mixed Fire","14710_41_50",0.00238,"Central Interior and Appalachian Floodplain Systems",1606,1535,0,3.6533
"168","Mixed Fire","14710_49_52",0.0023186,"Central Interior and Appalachian Floodplain Systems",2033,6768,0,15.6922848
"169","Mixed Fire","15170_42_49_50",0.0079184,"Paleozoic Plateau Bluff and Talus",1587,1094833,6.7,8669.3256272
"170","Mixed Fire","15170_42_49_50",0.0079184,"Paleozoic Plateau Bluff and Talus",2131,359970,2.2,2850.386448
"171","Mixed Fire","15170_42_49_50",0.0079184,"Paleozoic Plateau Bluff and Talus",2035,1,0,0.0079184
"172","Native Grazing","13100_38_42_43",0.0014228,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,2883163,17.6,4102.1643164
"173","Native Grazing","13100_41_62",0.0021416,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,19519,0.1,41.8018904
"174","Native Grazing","13100_44_50",0.0014376,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,216055,1.3,310.600668
"175","Native Grazing","13100_49",0.001616,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,162820,1,263.11712
"176","Native Grazing","13110_42_43",0.0061852,"North-Central Interior Dry Oak Forest and Woodland",2118,39226,0.2,242.6206552
"177","Native Grazing","13110_49",0.004795,"North-Central Interior Dry Oak Forest and Woodland",2018,940,0,4.5073
"178","Native Grazing","13110_50",0.0064382,"North-Central Interior Dry Oak Forest and Woodland",1564,17233,0.1,110.9495006
"179","Native Grazing","13850_31_39_40_42",0.1577748,"Western Great Plains Wooded Draw and Ravine",2120,89426,0.5,14109.1692648
"180","Native Grazing","13940_39_40_41",0.000983,"North-Central Interior Oak Savanna",1599,12921,0.1,12.701343
"181","Native Grazing","13940_42",0.000969,"North-Central Interior Oak Savanna",2121,56421,0.3,54.671949
"182","Native Grazing","13940_50_51",0.001063,"North-Central Interior Oak Savanna",1570,4403538,26.8,4680.960894
"183","Native Grazing","13950_41_42_43_49_52",0.0009956,"North-Central Oak Barrens",1600,433,0,0.4310948
"184","Native Grazing","13950_41_42_43_49_52",0.0009956,"North-Central Oak Barrens",2122,4506,0,4.4861736
"185","Native Grazing","13950_50",0.0010886,"North-Central Oak Barrens",1571,281144,1.7,306.0533584
"186","Native Grazing","14200_39_40_42",0.284174,"Northern Tallgrass Prairie",2124,172429,1.1,48999.838646
"187","Native Grazing","15170_42_49_50",0.0003062,"Paleozoic Plateau Bluff and Talus",1587,1094833,6.7,335.2378646
"188","Native Grazing","15170_42_49_50",0.0003062,"Paleozoic Plateau Bluff and Talus",2131,359970,2.2,110.222814
"189","Native Grazing","15170_42_49_50",0.0003062,"Paleozoic Plateau Bluff and Talus",2035,1,0,0.0003062
"190","Non Fire Disturbances","13022_41_50_51",0.0009166,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,64,0,0.0586624
"191","Non Fire Disturbances","13022_41_50_51",0.0009166,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,23,0,0.0210818
"192","Non Fire Disturbances","13022_41_50_51",0.0009166,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,2,0,0.0018332
"193","Non Fire Disturbances","13100_38_42_43",0.0022782,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,2883163,17.6,6568.4219466
"194","Non Fire Disturbances","13100_41_62",0.0026812,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,19519,0.1,52.3343428
"195","Non Fire Disturbances","13100_44_50",0.0022908,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,216055,1.3,494.938794
"196","Non Fire Disturbances","13100_49",0.0020846,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,162820,1,339.414572
"197","Non Fire Disturbances","13110_42_43",0.0072636,"North-Central Interior Dry Oak Forest and Woodland",2118,39226,0.2,284.9219736
"198","Non Fire Disturbances","13110_49",0.005807,"North-Central Interior Dry Oak Forest and Woodland",2018,940,0,5.45858
"199","Non Fire Disturbances","13110_50",0.0077736,"North-Central Interior Dry Oak Forest and Woodland",1564,17233,0.1,133.9624488
"200","Non Fire Disturbances","13140_38_39_40_41_42_43_44_50",0.1402798,"North-Central Interior Maple-Basswood Forest",1566,630795,3.8,88487.796441
"201","Non Fire Disturbances","13140_38_39_40_41_42_43_44_50",0.1402798,"North-Central Interior Maple-Basswood Forest",2119,568284,3.5,79718.7658632
"202","Non Fire Disturbances","13140_38_39_40_41_42_43_44_50",0.1402798,"North-Central Interior Maple-Basswood Forest",1591,11161,0.1,1565.6628478
"203","Non Fire Disturbances","13140_49",0.140435,"North-Central Interior Maple-Basswood Forest",2020,2369,0,332.690515
"204","Non Fire Disturbances","13620_41_50",0.0017146,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,127841,0.8,219.1961786
"205","Non Fire Disturbances","13620_41_50",0.0017146,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,62,0,0.1063052
