"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"438","Wind or Weather or Stress","14770_40_41_50_51",0.002846,"Boreal Acidic Peatland Systems",1581,47930,0.3,136.40878
"439","Wind or Weather or Stress","14770_40_41_50_51",0.002846,"Boreal Acidic Peatland Systems",1608,17,0,0.048382
"440","Wind or Weather or Stress","14790_41_42_47_48_50_51_53",0.0081426,"Central Interior and Appalachian Swamp Systems",1582,100484,0.6,818.2010184
"441","Wind or Weather or Stress","14790_41_42_47_48_50_51_53",0.0081426,"Central Interior and Appalachian Swamp Systems",2128,16445,0.1,133.905057
"442","Wind or Weather or Stress","14790_41_42_47_48_50_51_53",0.0081426,"Central Interior and Appalachian Swamp Systems",1609,773,0,6.2942298
"443","Wind or Weather or Stress","14810_41_50_51_63",0.0041718,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1583,5604,0,23.3787672
"444","Wind or Weather or Stress","14810_41_50_51_63",0.0041718,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1610,2,0,0.0083436
"445","Wind or Weather or Stress","14930_41_42_44_50",0.3289922,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,50209,0.3,16518.3693698
"446","Wind or Weather or Stress","14930_41_42_44_50",0.3289922,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",2130,36174,0.2,11900.9638428
"447","Wind or Weather or Stress","14930_41_42_44_50",0.3289922,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,1732,0,569.8144904
"448","Wind or Weather or Stress","14940_41_50_51",0.3168432,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1613,10,0,3.168432
"449","Wind or Weather or Stress","15170_42_49_50",0.0007412,"Paleozoic Plateau Bluff and Talus",1587,1094833,6.7,811.4902196
"450","Wind or Weather or Stress","15170_42_49_50",0.0007412,"Paleozoic Plateau Bluff and Talus",2131,359970,2.2,266.809764
"451","Wind or Weather or Stress","15170_42_49_50",0.0007412,"Paleozoic Plateau Bluff and Talus",2035,1,0,0.0007412
